Issue ID,Category,Severity,CVSS Score,Title,Description,File,Line,CWE,Recommendation,Estimated Fix Time,Priority,Status,Compliance Impact
QUAL-003,Code Quality,MEDIUM,N/A,analysis-repository.ts Too Large,File is 2.7x recommended maximum size (1389 lines),src/lib/repositories/analysis-repository.ts,N/A,N/A,Split into 4 repositories by entity,1 day,3,Open,SOC 2 CC8.1 PARTIAL
QUAL-004,Code Quality,MEDIUM,N/A,history/page.tsx Too Large,Component is 2.3x recommended maximum size (1162 lines),src/app/(dashboard)/history/page.tsx,N/A,N/A,Extract into smaller components,1 day,3,Open,SOC 2 CC8.1 PARTIAL
QUAL-005,Code Quality,MEDIUM,N/A,11 Explicit any Type Usages,Bypasses TypeScript type safety,Multiple files,N/A,N/A,Replace with proper types from existing interfaces,4-6 hours,3,Open,SOC 2 CC8.1 PARTIAL
QUAL-006,Code Quality,LOW,N/A,117 Async Functions Without Try-Catch,Unhandled promise rejections can crash application,Multiple files,N/A,N/A,Add try-catch blocks or implement global error boundary,1-2 days,3,Open,SOC 2 CC8.1 PARTIAL
QUAL-007,Code Quality,MEDIUM,N/A,Missing Input Validation on 5 API Routes,API routes lack Zod validation,Multiple API routes,N/A,CWE-20,Use withValidation middleware consistently,2-3 hours,2,Open,SOC 2 CC6.1 PARTIAL
AUTH-001,Authentication,MEDIUM,N/A,No Password Strength Requirements,Password requirements not enforced in code,src/lib/services/auth-service.ts,N/A,CWE-521,Implement minimum password requirements (12 chars; complexity),2 hours,2,Open,SOC 2 CC6.1 PARTIAL
AUTH-002,Authentication,MEDIUM,N/A,No Account Lockout After Failed Logins,Allows brute force attacks,src/lib/services/auth-service.ts,N/A,CWE-307,Add account lockout after 5 failed attempts,3 hours,2,Open,SOC 2 CC6.6 PARTIAL
AUTH-003,Authentication,LOW,N/A,No Multi-Factor Authentication,MFA not implemented,src/lib/services/auth-service.ts,N/A,N/A,Consider implementing MFA for enhanced security,1-2 days,4,Open,SOC 2 CC6.1 MINOR
AUTHZ-001,Authorization,MEDIUM,N/A,Only 45% API Routes Protected,6 of 11 API routes lack authentication checks,Multiple API routes,N/A,CWE-862,Add authentication to all protected routes,3-4 hours,2,Open,SOC 2 CC6.1 PARTIAL
FILE-001,File Upload,MEDIUM,N/A,No Virus Scanning for Uploads,Uploaded files not scanned for malware,src/lib/services/file-storage-service.ts,N/A,N/A,Implement virus scanning (ClamAV or cloud service),1-2 days,3,Open,SOC 2 CC6.1 PARTIAL
FILE-002,File Upload,LOW,N/A,Filenames Not Sanitized,Path traversal risk in filename handling,src/lib/services/file-storage-service.ts,N/A,CWE-22,Sanitize filenames to prevent path traversal,1 hour,3,Open,SOC 2 CC6.1 MINOR
REPO-001,Repository,HIGH,N/A,417 Uncommitted Changes,Large uncommitted changeset suggests incomplete work,Repository,N/A,N/A,Create atomic commits for logical groups,2-3 hours,2,Open,SOC 2 CC8.1 PARTIAL
REPO-002,Repository,MEDIUM,N/A,Documentation Sprawl,22 fix documentation files scattered at root,Repository root,N/A,N/A,Move to docs/archive/fixes/,30 minutes,3,Open,SOC 2 CC8.1 PARTIAL
REPO-003,Repository,LOW,N/A,Backup Files in Repository,Test file backup should not be committed,tests/unit/hooks/useDashboardData.test.ts.backup,N/A,N/A,Delete backup file,2 minutes,4,Open,SOC 2 CC8.1 MINOR
REPO-004,Repository,LOW,N/A,Stale Branches,2 merged branches should be deleted,Repository,N/A,N/A,Delete merged branches (development_dashboard; refactor/analysis-components-cleanup),5 minutes,4,Open,SOC 2 CC8.1 MINOR
COMP-001,Compliance,HIGH,N/A,No Audit Logging,Security events not logged for compliance,Multiple files,N/A,N/A,Implement audit logging for authentication; authorization; data access,2-3 days,2,Open,SOC 2 CC4.1 FAIL
COMP-002,Compliance,MEDIUM,N/A,No Security Policy Documentation,Policies not documented,docs/,N/A,N/A,Document security policies and procedures,1 day,3,Open,SOC 2 A1.2 PARTIAL
